	Location	Prices_per_year (₦ or $)	Bedrooms	Baths	Toilets
2196	Waterfront Property Inside Banana Island Banana Island Ikoyi Lagos	₦ 18,000,000	3.0	3.0	4.0
2197	The Property Is In A Nice Neighborhood With Good Road Oniru Victoria Island Lagos	₦ 7,000,000	3.0	3.0	4.0
2198	By Abuja Bus Stop Or By Olu Odo Road Ibeshe Ikorodu Lagos	₦ 300,000	1.0	1.0	1.0
2199	Ikate Lekki Lagos	₦ 7,000,000	2.0	2.0	3.0
2200	Ilaje Ajah Lagos	₦ 3,800,000	3.0	3.0	4.0
2201	Lakowe Golf Ibeju Lekki Lagos	₦ 750,000	1.0	1.0	2.0
2202	Off Agbebi Road Ijesha Suruler Ijesha Surulere Lagos	₦ 350,000	1.0	1.0	1.0
2203	Horizon 2 Estate, Meadow Hall Road, Chisco Ikate Lekki Lagos	₦ 5,000,000	3.0	3.0	4.0
2204	Sunny Villa Badore Ajah Lagos	₦ 1,500,000	3.0	3.0	4.0
2205	Thera Peace Zone Aptech Estate Sangotedo Ajah Lagos	₦ 1,500,000	2.0	2.0	3.0
2206	Abijo Ajah Lagos	₦ 900,000	1.0	1.0	2.0
2207	Ikota Villa Estate By Mega Chicken Lekki Lagos	₦ 700,000	1.0	1.0	1.0
2208	Ocean Palm Estate Ogidan Sangotedo Eti Osa Lekki Lagos State Sangotedo Ajah Lagos	₦ 2,500,000	3.0	3.0	4.0
2209	Ado Ajah Lagos	₦ 1,700,000	2.0	3.0	3.0
2210	Thera Annex Estate Sangotedo Ajah Lagos	₦ 1,700,000	2.0	2.0	3.0
2211	Jadesola Court Idado Lekki Lagos	₦ 3,500,000	3.0	3.0	4.0
2212	Opposite Mayfair Garden Awoyaya Ajah Lagos	₦ 800,000	1.0	1.0	2.0
2213	Iyana School Iba Ojo Lagos	₦ 800,000	2.0	3.0	3.0
2214	Ijegun Bucknor Isolo Lagos	₦ 600,000	1.0	1.0	1.0
2215	Olowora Ojodu Lagos	₦ 1,500,000	3.0	3.0	4.0
2216	Thera Miracle Zone Aptech Estate Sangotedo Ajah Lagos	₦ 1,200,000	1.0	1.0	2.0
2217	Onikoyi Ikoyi Lagos	₦ 13,000,000	3.0	3.0	4.0
2218	Victoria Island Lagos	₦ 15,000,000	3.0	3.0	4.0
2219	Greenland Estate Idowu Egba Igando Ikotun Igando Lagos	₦ 500,000	1.0	2.0	1.0
2220	Banana Island Ikoyi Lagos	₦ 25,000,000	3.0	3.0	4.0
2221	United Estate Sangotedo Ajah Lagos	₦ 1,800,000	2.0	2.0	3.0
2222	Marshy Hill Estate Ado Road Ajah Lagos	₦ 1,600,000	2.0	2.0	3.0
2223	Isheri Oshun Bucknor Isolo Lagos	₦ 700,000	1.0	1.0	2.0
2224	Neighborhood Off Lekki Epe Expressway Ajah Lagos	₦ 3,200,000	3.0	4.0	4.0
2225	Ikate Lekki Lagos	₦ 10,000,000	2.0	3.0	3.0
2226	Silverland Estate Sangotedo Ajah Lagos	₦ 1,100,000	2.0	2.0	3.0
2227	Hopeville Estate Sangotedo ,lekki Ajah Lagos	₦ 2,000,000	2.0	2.0	3.0
2228	Victory Estate By Shoprite Sangotedo Ajah Lagos	₦ 1,600,000	3.0	3.0	4.0
2229	Ikota Villa Estate Lekki Lagos	₦ 2,500,000	2.0	2.0	3.0
2230	Jumofak Ikorodu Lagos	₦ 400,000	1.0	1.0	1.0
2231	Hopeville Estate Sangotedo Ajah Sangotedo Ajah Lagos	₦ 2,000,000	2.0	2.0	3.0
2232	United Estate Sangotedo Eti Osa Lagos State Sangotedo Ajah Lagos	₦ 1,800,000	2.0	2.0	3.0
2233	Sunny Villa Badore Ajah Lagos	₦ 1,200,000	3.0	3.0	4.0
2234	Transformer Bucknor Estate Close To Community Bridge Ago Isolo Lagos	₦ 650,000	1.0	1.0	1.0
2235	Royal Palm Will Badore Ajah Lagos	₦ 450,000	0.0	0.0	0.0
2236	Banana Island Ikoyi Lagos	₦ 29,000,000	3.0	3.0	3.0
2237	Chevron Lekki Lagos	₦ 1,800,000	1.0	1.0	1.0
2238	Royal Palm Will Badore Ajah Lagos	₦ 500,000	0.0	0.0	0.0
2239	Thera Annex Estate Sangotedo Ajah Lagos	₦ 1,700,000	2.0	2.0	3.0
2240	United Estate Sangotedo Ajah Lagos	₦ 500,000	1.0	1.0	1.0
2241	Sangotedo Ajah Lagos	₦ 800,000	1.0	1.0	1.0
2242	Banana Island Ikoyi Lagos	₦ 12,000,000	2.0	0.0	0.0
2243	United Estate ,ajah Sangotedo Lagos	₦ 1,400,000	2.0	3.0	3.0
2244	Milverton Road, Off Bourdillon Ikoyi Lagos	₦ 30,000,000	3.0	3.0	3.0
2245	Milverton Road, Off Bourdillon Ikoyi Lagos	₦ 30,000,000	3.0	3.0	3.0
2246	Lakeview Estate Amuwo Odofin Lagos	₦ 60,000,000	3.0	4.0	4.0
2247	Banana Island Road, Ikoyi. Banana Island Ikoyi Lagos	₦ 20,000,000	3.0	3.0	3.0
2248	Badore Ajah Lagos	₦ 700,000	0.0	0.0	0.0
2249	Unity Estate Badore Ajah Lagos	₦ 800,000	0.0	0.0	0.0
2250	Off Coker Road Ilupeju Lagos	₦ 2,500,000	2.0	3.0	3.0
2251	Osapa London Lekki Lagos	₦ 1,000,000	0.0	0.0	0.0
2252	Bluewaters Oniru Victoria Island Lagos	₦ 10,000,000	2.0	2.0	3.0
2253	Royal Pine Orchid Road Lekki Phase 2 Lekki Lagos	₦ 800,000	0.0	0.0	0.0
2254	Ikota Lekki Lagos	₦ 150,000,000	4.0	4.0	5.0
2255	Sangotedo Ajah Lagos	₦ 2,200,000	2.0	2.0	3.0
2256	Asa Estate Soluyi Gbagada Lagos	₦ 4,000,000	4.0	0.0	0.0
2257	Orji Murray Street Behind Elevation Center Salem Jakande Lekki Lagos	₦ 2,300,000	0.0	0.0	0.0
2258	Orchid Road Lekki Phase 2 Lekki Lagos	₦ 1,500,000			
2259	Imperial Oak (3) Homes, Royal Pine Estate, Gate 3, Off Chevron Toll Gate, Orchid, Lekki. Along Lekki Expressway Lekki Lagos	₦ 1,600,000	0.0	0.0	0.0
2260	1004 Estate 1004 Victoria Island Lagos	₦ 9,000,000	3.0	3.0	3.0
2261	Ikeja Gra Ikeja Lagos	₦ 12,000,000	3.0	3.0	3.0
2262	Banana Island Ikoyi Ikoyi Lagos	₦ 8,000,000	3.0	3.0	3.0
2263	Chevron Lekki Lagos	₦ 3,000,000	3.0	3.0	4.0
2264	Imperial Oak (3) Homes, Royal Pine Estate,off Chevron Toll Gate, Orchid, Along Lekki Expressway Lekki Lagos	₦ 1,000,000	0.0	0.0	0.0
2265	Ago Palace Okota Lagos	₦ 4,000,000	4.0	4.0	5.0
2266	Millenuim Ups Gbagada Lagos	₦ 5,500,000	3.0	3.0	3.0
2267	Lekki Phase 1 Lekki Lagos	₦ 6,000,000	3.0	3.0	4.0
2268	Olorunfemi Lasu Rd Ikotun Igando Lagos	₦ 400,000	1.0	0.0	0.0
2269	Idado Estate Lekki Lagos	₦ 1,600,000	1.0	1.0	1.0
2270	Divine Avenue ,close To Community Bridge Ago Palace Bucknor Isolo Lagos	₦ 1,000,000	1.0	1.0	2.0
2271	Opposite Lagos Business School Lekki Lagos	₦ 3,675,000	2.0	0.0	0.0
2272	Gbagada Lagos	₦ 2,500,000	3.0	3.0	3.0
2273	Chevron Lekki Lagos	₦ 1,500,000	1.0	1.0	1.0
2274	Osapa London Lekki Lagos	₦ 3,500,000	2.0	2.0	0.0
2275	Seaside Badore Ajah Lagos	₦ 1,200,000	2.0	0.0	0.0
2276	Thomas Estate Ajah Lagos	₦ 2,000,000	3.0	4.0	5.0
2277	Celestial Rd Ikotun Igando Lagos	₦ 600,000	3.0	3.0	3.0
2278	Celestial Rd Close To Jendol Supermarket Igando Igando Ikotun Igando Lagos	₦ 700,000	2.0	3.0	3.0
2279	Hotel Bus Stop Lasu Rd Ikotun Igando Lagos	₦ 450,000	1.0	1.0	1.0
2280	Royal Estate Close To Diamond Estate Bus Stop Lasu Igando Road Ikotun Igando Lagos	₦ 750,000	1.0	2.0	2.0
2281	Off Ajayi Road Oke Ira Ogba Ikeja Lagos Nigerian Ajayi Road Ogba Lagos	₦ 2,500,000	3.0	3.0	4.0
2282	Lekki Phase 1 Lekki Lagos	₦ 2,000,000	1.0	1.0	1.0
2283	Marshy Hill Estate Akins Ado Road Ajah Lagos	₦ 1,500,000	0.0	0.0	0.0
2284	Awobo Estate Igbogbo Ikorodu Lagos	₦ 500,000	2.0	2.0	3.0
2285	Transformer Bucknor Estate Close To Community Bridge Ago Isolo Lagos	₦ 1,000,000	2.0	2.0	3.0
2286	Mafoluku Oshodi Lagos	₦ 500,000	1.0	1.0	1.0
2287	Off Masha Road Shitta Masha Surulere Lagos	₦ 700,000	2.0	1.0	1.0
2288	Old Ikoyi Ikoyi Lagos	₦ 22,000,000	4.0	4.0	4.0
2289	Badore Ajah Lagos	₦ 750,000	0.0	0.0	0.0
2290	Isheri Oshun Bus Stop Bucknor Isolo Lagos	₦ 900,000	2.0	2.0	3.0
2291	Abule Ijesha Yaba Lagos	₦ 1,000,000	1.0	1.0	1.0
2292	Igbo Efon Lekki Lagos	₦ 1,000,000	1.0	1.0	1.0
2293	Lekki County , West End Estate Ikota Lekki Lagos	₦ 500,000	0.0	0.0	0.0
2294	Aguda Surulere Lagos	₦ 3,000,000	3.0	3.0	3.0
2295	Unity Estate Badore Ajah Lagos	₦ 700,000	1.0	2.0	2.0
2296	Maicon Bus Stop Akowonjo Alimosho Lagos	₦ 1,500,000	3.0	4.0	4.0
2297	Off Masha Road Surulere Lagos	₦ 900,000	1.0	2.0	2.0
2298	By Dakibiyu Jabi Abuja	₦ 350,000,000	5.0	5.0	6.0
2299	Ogba Lagos	₦ 1,500,000	2.0	2.0	3.0
2300	Langbasa Harmony Estate Ado Ajah Lagos	₦ 900,000	2.0	2.0	2.0
2301	Alakuko, Dalemo. Abule Egba Lagos	₦ 800,000	0.0	0.0	0.0
2302	Palmgroove Shomolu Lagos	₦ 600,000	0.0	1.0	1.0
2303	Mobil Road Ilaje Ajah Lagos	₦ 550,000	0.0	0.0	0.0
